녹지대명,녹지대분류,위도,경도
합정로변 푸른거리,,40.04577916593657,142.07815390946632
마포구청내,공공건물,40.047278456812165,142.08241716436075
,,40.002653998005755,142.1061821517168
신도림역북측,도로변녹지,39.99347769373741,142.0618905111759
원효녹지대,광장녹지,40.01323506425989,142.1267982420843
송정제방,수림대,40.031849731688865,142.22681500380034
성산대교I.C,광장녹지,40.03851334433322,142.07040348622212
구청앞사거리,도로변녹지,39.9789758780552,142.05939008151046
흑석2구역녹지,경관녹지,39.98736039725517,142.1406084921895
을지로입구녹지대,광장녹지,40.04798046580419,142.15965977911796
대방천수림대,기타,39.98549123572997,142.07339438180827
중량천변경관 수림,수림대,40.129559685869836,142.23771556699623
장위동향나무쉼터,간이휴게소,40.096226546551755,142.22647620709253
남대문,문화재 주변,40.04180184880505,142.15133466869722
상도5구역녹지,경관녹지,39.97660982906047,142.13441210193497
둔촌동 로타리 녹지,광장녹지,40.00036911919373,142.3146478789461
올림픽로 분리대,중앙분리대,39.99555094434699,142.28887211933318
올림픽로 분리대,중앙분리대,39.99626344940428,142.2912433227451
,,39.99627414501366,142.2937779619766
위례성길 분리대,,39.994221033670186,142.2983756014426
,,39.994069952785544,142.29977729429382
탄천제방수림대,수림대,39.98246088472629,142.25597403265516
탄천제방수림대,수림대,39.97364820550189,142.2811515897268
영등포ic,도로변녹지,40.00359503224762,142.08624171793346
국회앞노변분리대,노변분리대,40.011322376483264,142.09029357976988
남부순환로수벽,수벽,39.956354518775626,142.1669708397028
가락사거리녹지대,도로변녹지,39.97656851740193,142.29421733784218
올림픽로 분리대,중앙분리대,39.993186171871095,142.27922735707
성내천둔치공원(오금동),하천변조경,39.981327263808865,142.3169504976916
풍납마을마당,휴게소,40.00654433823203,142.29339557418533
신암중학교,건물조경,40.034621181066605,142.31428208328364
일원가로공원,가로녹지대,39.97557892259211,142.24974939029252
수서ic녹지대,가로녹지대,39.97261507436876,142.27613404625234
봉천복개로,노변분리,39.96647643834938,142.11269075503967
헌릉로변녹지대,도로변녹지,39.93964535634427,142.2546085798008
테헤란로분리대,분리녹지대,39.986889281834934,142.23305214102186
쌈지마당,기타,39.98244259828018,142.11750371479928
강동대로 분리대,노변분리대,39.99956529757381,142.31432366015792
장안3거리녹지대,광장녹지,40.05846840000438,142.25249939974745
시민의숲,수벽,39.97190288225407,142.08663757884025
난지도길 중앙분리대,중앙분리대,40.05400123058612,142.06421798706984
한천로변,수벽,40.11162614100947,142.22113955946645
지하철2호선,지하철환기구주변,39.99343403912179,142.27791702908993
세곡동녹지대,가로녹지대,39.94291196788485,142.28802967348028
우이천변제1녹지,하천변 녹지,40.11481408118096,142.21961630026286
목동교통광장,일반녹지,40.01395163244118,142.0346913741016
계남초교앞,일반녹지,39.99471849088976,142.0311317902064
세종로녹지대,,40.05237746611597,142.15402660690475
,,40.00443005241332,142.28432609307143
소공원,,40.003763354406125,142.29640328879978
영동대로분리대,분리녹지대,39.99054739733672,142.2396878100473
테헤란로분리대,분리녹지대,39.98244070129375,142.2167611970082
묵동삼거리 녹지대,도로변녹지,40.09155351374006,142.25912179517476
국민대앞,간이휴게소,40.09159777174609,142.1735846751525
성북천,하천변 조경,40.0687036433293,142.1981447073493
염천교녹지대,광장녹지,40.04176159148367,142.14719708981684
한국은행앞녹지대,광장녹지,40.043201272557035,142.15732926385868
을지로4가녹지대,광장녹지,40.04824701332789,142.17554766511353
퇴계로5가녹지대,광장녹지,40.044566191457456,142.17939405885508
퇴계로5가녹지대,광장녹지,40.044686369892325,142.18006268269374
장한평녹지대,광장녹지,40.041725906271566,142.24428436976635
구청사,공공건물,40.08540498985102,142.1049712453568
동국대입구 녹지대,광장녹지,40.04039305914094,142.17975274629688
자유로분리대,,40.058000142718846,142.04022872524274
공덕동 마을마당,간이휴게소,40.030134653080765,142.1356159262649
푸른거리(아현중학교앞),도로변녹지,40.03799489569159,142.13302278582108
마포대교I.C,광장녹지,40.02058590480134,142.1173979976091
세종로 공원인수,광장녹지,40.055379100858886,142.15205496834545
세종로 녹지,광장녹지,40.05233618000368,142.15414273470128
진흥로 녹지,도로공원,40.090985463111956,142.13201866996766
청계로 분리대,분리대,40.05095860557996,142.15490982416523
자하문 주변,문화재 주변,40.070522178761976,142.1455889502715
구청사 녹지,공공건물,40.054323503879196,142.1562693439938
종로선3개소,지하철환기구주변,40.05212457711995,142.16968619788963
사직로 옆 녹지,,40.05758594248892,142.14866472787435
공릉동 229-35,자투리땅 녹지,40.10370923701879,142.2641826239443
경관 수림대,수림대,40.12118251432885,142.2427079811402
중량천변경관 수림,수림대,40.098572018200805,142.2533473875373
면목유수지사거리,도로변녹지,40.06078311847305,142.26030770746885
은평터널녹지대,도로변녹지,40.076019502320335,142.07653099913517
서서울(아)앞,도로변녹지,40.03801840316392,142.13348839175276
면목천길 녹지대,도로변녹지,40.063688659054215,142.2640461298914
푸른거리(아현초등-마포교),도로변녹지,40.02937336053018,142.1284143120294
신촌로타리녹지대,광장녹지,40.0375444490598,142.11177893755536
양화로푸른거리,도로변녹지,40.03419638188339,142.0900489426065
양화로푸른거리,도로변녹지,40.040857982859904,142.09984353017197
연남동가로공원녹지,중앙분리대,40.04816373721012,142.0965619644882
푸른거리(홍대입구-성모병,도로변녹지,40.04680984516131,142.0874763856405
푸른거리(홍대입구-성모병,도로변녹지,40.04627029726816,142.08795986445955
강변로중앙분리대,중앙분리대,40.00793490673565,142.12857867779866
홍제천변,수림대,40.046468420553744,142.07519134464548
사천고가밑,도로변녹지,40.04482148398316,142.09714580923134
,,40.00266409761124,142.10618010955457
구일역사앞,도로변녹지,39.98155939625799,142.04343948307448
원효녹지대,광장녹지,40.01420052032941,142.12904779073403
삼각지 녹지대,광장녹지,40.01714836558587,142.14939066814082
푸른거리(아현초등-마포교),도로변녹지,40.03477021026692,142.13162296776758
양화로푸른거리,도로변녹지,40.037007009481286,142.09362340755735
합정로변 푸른거리,,40.040693436173505,142.08236099404346
마포구청내,공공건물,40.04668217609165,142.08261127211313
삼표골재 앞,중앙분리대,40.024520972539094,142.21395166870101
뚝섬길 입구,수벽,40.03102126914685,142.2221607284744
도선동13,기타,40.04533772228689,142.21429205987738
성수동2가757-1,기타,40.0163912862987,142.23187354600955
천호대로가로수아래,도로변녹지,40.04690068788775,142.2316031184765
행당1동130-42,기타,40.03834478636067,142.21711600031685
푸른거리(홍대입구-성모병,도로변녹지,40.03991590330347,142.09344361711157
불광천변,수림대,40.05245976673548,142.07413105427412
한남동,수벽,40.020981375083615,142.18006104654958
오류I.C녹지대,도로변녹지,39.98295678644767,142.01695217719507
영동대로분리대,분리녹지대,39.98302756427689,142.2436662432403
통일로,노변분리대,40.12826788869161,142.0875990580253
청와대입구 녹지,광장녹지,40.065349019345156,142.1534984056089
대학로변 녹지,광장녹지,40.062701283991075,142.17995272602369
월계동 377-97,자투리땅 녹지,40.10386728163361,142.24025930956415
이촌동철로변,도로변녹지,40.00451557266146,142.14150252994997
성북천,하천변 조경,40.06879029115324,142.19843108822099
삼청동 녹지,광장녹지,40.066148557308495,142.15638376373516
강변로쉼터,간이휴게소,40.024408612821325,142.10888334098524
성산로(마포구청맞은편),수벽,40.04804403005832,142.08195769328862
성산로(지하차도입구),중앙분리대,40.04474521834997,142.07198690885983
성산대교I.C,광장녹지,40.040580503372155,142.06805366953571
사천고가밑,도로변녹지,40.04845507880372,142.09385146728124
구청사,공공건물,40.00982871963979,142.06827508723086
당산동삼성apt앞,기타,40.01864319532122,142.07706377677786
구나무단지녹지대,도로변녹지,40.057377927723365,142.0017342096679
남부순환로,중앙분리,39.95830851832651,142.14858506434493
남부순환로,중앙분리,39.960101090803995,142.13438288332122
합정로변 푸른거리,,40.04094545659371,142.08240498031716
이태원입구외7개소,도로변녹지,40.01697003789538,142.16291534557888
오류I.C녹지대,도로변녹지,39.981337283258036,142.0196614554535
서부이촌동 철로주변,수벽,40.00372268226941,142.14983827996164
당산역사면,광장녹지,40.01831415278823,142.07716860360287
성산ic,광장녹지,40.02866211463416,142.06192329164307
왕십리 교통광장,,40.04154812945312,142.21540059133665
영등포ic,도로변녹지,40.00204469911298,142.08763366572214
자투리녹지(불광동),자투리녹지,40.105003620110736,142.10723928472964
푸른거리(홍대입구-성모병,도로변녹지,40.046872852101956,142.08714496613112
병무청앞,기타,39.988874205590506,142.0909285604643
대방천수림대,기타,39.98748516254521,142.07063206898673
여의도 걷고싶은거리,,40.00325452029943,142.09450370292652
구청앞사거리,도로변녹지,39.97910698625262,142.0594233699768
신도림역남측,도로변녹지,39.9905853450925,142.06472063825396
온수동길녹지,도로변녹지,39.97820404040088,142.00195720753388
길동 로타리 녹지,광장녹지,40.01279004062622,142.31934929229004
길동 마을마당,마을마당,40.02096891275867,142.33013156930284
잠원동녹지대,광장녹지,39.99145790486744,142.19146216233165
헌릉로변녹지대,도로변녹지,39.937236339188054,142.23509390035278
올림픽로 분리대,중앙분리대,39.99079907865794,142.2503592051778
암사동 수벽,수벽,40.03814181311523,142.31291754343644
동작대교옆,도로변녹지,39.99841019496356,142.15773004812314
시흥대로(가로수아래),도로변녹지,39.944964177124206,142.0710423502597
한강대교입구,광장녹지,40.00502178091139,142.13497882908678
동작대로,수벽,39.95013022139866,142.15913965051524
낙성대,도록변녹지,39.951583324509706,142.1306208793364
성산대교I.C,광장녹지,40.040345050104634,142.06916163300252
용산선철로연변,수림대,40.04298660558599,142.098770575844
강동대로 녹지,광장녹지,40.00245223851051,142.30936130678003
개화ic녹지대,광장녹지,40.067267123121056,141.9688330949523
신월고가도로밑녹지대,도로변녹지,40.01289520302148,142.02007166208338
원당사거리,도로변녹지,40.04293412932335,142.00977770352296
능말길녹지,도로변녹지,40.062677106350954,141.9837024430092
공항로중앙분대대,중앙분리대,40.04155569310688,142.0205110681925
상도터널(본동쪽),도로변녹지,39.9932808332023,142.1269283014584
오류I.C녹지대,도로변녹지,39.98315785892909,142.01774543660144
남산3호터널,수벽,40.025980647043276,142.16411677411728
한강대교입구,광장녹지,40.00530131711329,142.13554733305563
성산로(마포구청맞은편),수벽,40.04753370482115,142.07936587074647
양화ic,광장녹지,40.022902032439966,142.0710500381028
봉천복개로,노변분리,39.96528420428673,142.11841857959806
강변로 약사회앞,도로변녹지,40.00201012517788,142.140863096106
송정동 동민의 집,기타,40.03089291718436,142.2473917597419
중소기업전시장앞,기타,40.00874119829092,142.0984815371618
구청앞사거리,도로변녹지,39.97926523481155,142.05974320212556
여의도우체국앞,기타,40.00523611576224,142.0985531253081
구청앞사거리,도로변녹지,39.97873663509329,142.0594997769408
원효녹지대,광장녹지,40.014582399269486,142.13034939670942
원효녹지대,광장녹지,40.01367618402828,142.1291900044205
삼각지 녹지대,광장녹지,40.017393666377444,142.14967612798839
중지도,도로변녹지,39.999245082514,142.1325025312772
중지도,도로변녹지,40.00032371788216,142.13337860434947
이태원사거리절개지,도로변녹지,40.015927799111196,142.16435405241208
성수2가3동37,기타,40.026202744561616,142.23224024477278
성수중학교뒤,도로변녹지,40.02926567488606,142.21570764385314
,,40.050351512357615,142.2316886432666
양화교ic녹지대,광장녹지,40.03186163783691,142.05148873896383
원당사거리,도로변녹지,40.04302399731763,142.0091427319751
시흥IC,도로변녹지,39.963574607926326,142.0705057211329
성산ic,광장녹지,40.02985641681731,142.06075296125795
양남사거리,광장녹지,40.00570629459558,142.06210174627353
군자동마을마당,마을마당,40.03022731821866,142.25514162772888
능동마을마당,마을마당,40.034780106253166,142.26327334239636
연남동가로공원녹지,중앙분리대,40.04843135529244,142.09634851156974
시흥I.C녹지대,도로변녹지,39.962864331849694,142.0689339735258
잠수교철로변 녹지,도로변녹지,40.00278744541463,142.17313105711852
봉천복개로,노변분리,39.968155193565806,142.10901258997674
동작대로,중앙분리,39.948744299896944,142.1607408906331
시흥IC,도로변녹지,39.96299647719315,142.07045224960416
남부순환로,중앙분리,39.96188392290262,142.1299535166642
구청사주변녹지,공공건물,39.99504194442951,142.11333410714937
둔촌동 삼각녹지,광장녹지,40.015890433583046,142.3332914264896
양화대교I.C,광장녹지,40.03072993798193,142.08103660881818
천호대로 수림대,수림대,40.018138954318054,142.33883230753585
영등포ic,도로변녹지,40.00235868164016,142.08775805657427
여의도일원,수벽,40.00798808978353,142.08760247553406
서초로수벽,수벽,39.97810038800302,142.2013810646939
잠실대교,광장녹지,40.00881727399148,142.26753833063478
문성터널,간이휴게소,39.9619265226086,142.09617599075042
노들길수림대,하천변조경,40.01339150011793,142.08121479885236
반포천수림대,수림대,39.98289405330421,142.17533619288346
올림픽로 분리대,중앙분리대,39.992032205583435,142.27668740313246
송파대로변 수벽,수벽,39.96910184716555,142.29865776124538
올림픽대로주변,수림대,40.006849982264505,142.28673683236127
쌈지마당,기타,39.98295580686187,142.11783665849507
구청사내,광장녹지,40.0183840172942,142.2617310335052
국회앞노변분리대,노변분리대,40.009120057285635,142.0923942337022
봉림교,도로변녹지,39.96744226509515,142.097576951141
고덕동길외 1개노선 녹지,광장녹지,40.02603833732278,142.3479908516058
잠실대교,광장녹지,40.00899285977523,142.26871075890193
약진로수벽,수벽,39.949419643756734,142.30718972242798
탄천제방주변,수림대,39.97468753200516,142.27912847938362
신암중학교,건물조경,40.03385106245397,142.31446693763607
삼성역녹지대,가로녹지대,39.98939426099494,142.24090567397158
매봉터널녹지대,가로녹지대,39.97014417804344,142.22533984687828
세곡동녹지대,가로녹지대,39.94418513889264,142.28626378815318
양남사거리,광장녹지,40.00558621392529,142.06216192213947
테헤란로분리대,분리녹지대,39.983982048220874,142.2224079076012
테헤란로분리대,분리녹지대,39.98469088280885,142.22498940683047
언주로분리대,분리녹지대,39.95927088257095,142.23189337066637
선사주거지앞 녹지,광장녹지,40.03470796393696,142.31113600796277
강동대로 녹지,광장녹지,40.00509093168148,142.30352692231853
강동대로 중앙분리대,중앙분리대,39.99811857965219,142.31871471704162
연남동가로공원녹지,중앙분리대,40.045810492515905,142.0984239015671
성산대교I.C,광장녹지,40.04205970173932,142.06743389100126
상암택지광장4,광장녹지,40.0569505469966,142.07196060917184
독막길걷고싶은거리,,40.025523864842455,142.12225175937763
합정로변 푸른거리,,40.0456868858449,142.0779177425597
청량리동 208-5,기타,40.067209807884176,142.22646699152554
답십리3동 마을마당,간이휴게소,40.0517774011534,142.22784763398732
능동로상징보행가로,광장녹지,40.0282508678358,142.25396170697877
봉천복개로,노변분리,39.96592111969853,142.11509728795252
잠실대교,광장녹지,40.00839295019951,142.26638170078613
봉천복개로,노변분리,39.9648896810595,142.12396284700594
구청앞녹지대,광장녹지,40.08502164257505,142.10491523336805
합정로변 푸른거리,,40.034350709254234,142.08614405900235
합정로변 푸른거리,,40.03338283080338,142.08671504266187
행주ic녹지대,광장녹지,40.07718492094247,141.9741876526529
공항로변수벽,수벽,40.04346385857583,141.99778343392427
개화동길수벽,수벽,40.05843585060478,141.9737064142209
남부순환로,중앙분리,39.96538215076605,142.11321346345048
구의동마을마당,마을마당,40.02808340050347,142.27307629252456
양화I.C녹지,일반녹지,40.030529167081646,142.05270434070917
양화대교I.C,광장녹지,40.031323272939964,142.0820766112169
남부순환로,중앙분리,39.96232192927002,142.12887936504302
양화ic,광장녹지,40.02043291159561,142.074135309684
응봉동228-38,기타,40.03292484342178,142.21491325346412
양재천변녹지대,가로녹지대,39.96611877859378,142.22718049318735
잠원로중앙분리대,중앙분리대,39.99152703045514,142.18139874396135
테헤란로분리대,분리녹지대,39.98778666103858,142.2363358696526
올림픽로 분리대,중앙분리대,39.9911839590834,142.2530153953212
백제고분로 분리대,중앙분리대,39.99504192621684,142.2556529415691
구청사,공공건물,40.070553863063104,142.19530086143192
구청사,공공건물,40.07035525508318,142.1955461595335
장위3동 가로휴식공간,간이휴게소,40.097824085304346,142.23711554070795
당현천변 가로녹지,도로변녹지,40.1281687115415,142.24684564684114
한내녹지대,광장녹지,40.047452314353734,142.25115724850912
미아1동녹지,도로변녹지,40.103022046120245,142.1969972845708
미아5동자투리녹지,도로변녹지,40.09398623898328,142.2042628342594
월계로변,수벽,40.1040491162287,142.2293783779363
구청사,공공기관,40.12025517239594,142.20612844306928
신월 I.C,일반녹지,40.00925764448455,142.00520080997276
테헤란로분리대,분리녹지대,39.98537305640573,142.22749638880146
남부순환로분리대,중앙분리대,39.97570824232848,142.29013091752816
올림픽로 분리대,중앙분리대,39.99142553424766,142.26019654005376
목동교ic,광장녹지,40.016265729668476,142.0638532015796
남부순환로,중앙분리,39.95889146177362,142.13739272035576
석관마을마당,간이휴게소,40.090132971937294,142.2425738054926
군자지하차동녹지대,도로변녹지,40.041258709666934,142.25086940614796
목동교통광장,일반녹지,40.01356852057974,142.03500365751964
가로공원,분리녹지,40.0203174599581,141.99421022276132
남부순환로 분리녹지,분리녹지,40.00398687690087,142.00845789353505
시청사주변녹지,,40.04845266104815,142.15376354854126
성내유수지변,하천변조경,40.005601929313244,142.29988809760002
올림픽로 수림대,,40.01831479601601,142.29685082733297
푸른거리(홍대입구-성모병,도로변녹지,40.04324234634213,142.0906961446256
푸른거리(홍대입구-성모병,도로변녹지,40.04210508893355,142.0916566584467
푸른거리(홍대입구-성모병,도로변녹지,40.041183519237364,142.0924714261288
푸른거리(홍대입구-성모병,도로변녹지,40.039315912240404,142.09447921918155
푸른거리(성모병원-마포구,도로변녹지,40.04823956935535,142.08545140390666
푸른거리(성모병원-마포구,도로변녹지,40.04815208111911,142.0850825849278
푸른거리(성모병원-마포구,도로변녹지,40.04789249522661,142.08403754983783
푸른거리(성모병원-마포구,도로변녹지,40.04771614152813,142.08333504113148
합정로변 푸른거리,,40.044958039763834,142.07887032534768
합정로변 푸른거리,,40.04416696136673,142.0795575030623
합정로변 푸른거리,,40.042305250132905,142.08120755678348
합정로변 푸른거리,,40.04169617026823,142.08174142719994
전농동로터리녹지대,광장녹지,40.05739164729785,142.23753908050708
가로공원,분리녹지,40.02090596742711,141.99908652585358
,,40.00874243886367,142.28882841581756
합정로변 푸른거리,,40.041032148214796,142.0820705193967
합정로변 푸른거리,,40.03955520166145,142.0836561901031
합정로변 푸른거리,,40.03861081448581,142.08421740669542
합정로변 푸른거리,,40.03793302990029,142.0850673821373
보광동수원지,도로변녹지,40.02251275181201,142.178040324073
통일로,노변분리대,40.129060995720906,142.08602804065788
효창운동장주변,수벽,40.02510347338042,142.13702981750922
이촌2동 수림대,수림대,40.0074919796449,142.1317639688071
독산지역(안천)녹지,완충녹지,39.94051173950096,142.05794385630168
마포구청내,공공건물,40.0470582293661,142.08292576540507
성산로(마포구청주변),수벽,40.047375661565745,142.0808670847151
구로I.C녹지대,도로변녹지,39.97120027769389,142.04902019349055
영동대교녹지대 주변로,수벽,40.01504553932973,142.23694310337694
구로I.C녹지대,도로변녹지,39.97175343331492,142.047924472493
삼표골재 앞,중앙분리대,40.024779822648654,142.21400647295889
매봉길입구,도로변녹지,40.026033628570275,142.19366794618702
금호2가동 산9-1,간이휴게소,40.037662102347284,142.19582302310704
사근제방길 한양대후문벽면,기타,40.03467798836832,142.22460013501242
벚꽃길,도로변녹지,39.957375416030196,142.05651937799968
철도변,하천변조경,39.94818536375516,142.0603028815745
사당동경관녹지,경관녹지,39.96800459340739,142.1460824485113
장안4동 마을마당,간이휴게소,40.05896005023855,142.2506733512922
진흥로변녹지대,광장녹지,40.09282511910824,142.11904709913125
합정로변 푸른거리,,40.03548225036091,142.08583365824535
합정로변 푸른거리,,40.03551653105097,142.08602373234268
합정로변 푸른거리,,40.03441239290637,142.08633512598013
화곡로입구녹지대(구청사거,광장녹지,40.040582661153856,142.02472689537376
잠실대교,광장녹지,40.00781869379413,142.26535520059582
길동 로타리 녹지,광장녹지,40.012352719749586,142.3189540475427
선사주거지앞 녹지,광장녹지,40.0375998492602,142.31210272761135
강동구 걷고싶은 거리,광장녹지,40.03270296263097,142.33904425003757
능동로상징보행가로,광장녹지,40.02989141247783,142.25499022839657
능동로상징보행가로,광장녹지,40.03302479351403,142.25667134130944
도림3빗물펌프장앞,기타,39.99036704313156,142.06815500623935
동작대로분리녹지대,중앙분리대,39.9773622891088,142.1570007056515
합정로변 푸른거리,,40.032914158810435,142.0867515815444
사천고가 밑 녹지,도로변녹지,40.04914449898337,142.08751730357685
전농동 마을마당,간이휴게소,40.05832387158737,142.24662301329144
방화역광장녹지,광장녹지,40.06203679927651,141.98289895587394
능말길녹지,도로변녹지,40.062620883889224,141.9839312715904
공항로변수벽,수벽,40.04374905507047,142.00706311020483
동부간선도로,수림대,40.04365817011962,142.2553292310602
봉천복개로,노변분리,39.9671365422534,142.11186710709933
강동구 걷고싶은 거리,광장녹지,40.02807140121765,142.33851719397802
봉천복개로,노변분리,39.96571324918959,142.11684561727407
행당동제방,수벽,40.033570189340146,142.21848456357694
남부순환로,중앙분리,39.96135612640202,142.1312638406832
남부순환로,중앙분리,39.96450352418422,142.11863845138336
봉천복개로,노변분리,39.96535807984498,142.11778512388514
개화ic녹지대,광장녹지,40.0683657433567,141.967669122141
공항로변녹지,도로변녹지,40.043018153857545,142.01315942171135
공항로변수벽,수벽,40.04275783440014,142.012875872807
중량천휴식공간,휴식공간,40.04448316144277,142.25603123155724
용두1동 마을마당,간이휴게소,40.05393270955184,142.21374526387345
봉림교,도로변녹지,39.9671510506733,142.09814414282633
능동로걷고 싶은 거리,도로변녹지,40.01205103782944,142.24543380364912
사당사거리,도로변녹지,39.95801641370429,142.15462058187515
남부순환로,중앙분리,39.96693588665946,142.0996287705282
여의도광장분리녹지대,광장녹지,40.009954723522696,142.09992920670732
여의도광장분리녹지대,광장녹지,40.00839322150724,142.09718335163785
양화ic,광장녹지,40.0221970307644,142.07131270747715
양화ic,광장녹지,40.02316870374916,142.07019828986196
양화ic,광장녹지,40.021998093568655,142.0725678991959
성산ic,광장녹지,40.030444924588004,142.0582841167392
무학여고 벽면,기타,40.03866925773474,142.2111283695322
방화역광장녹지,광장녹지,40.061719751885356,141.9840676140723
마곡빗물펌프장집입로변녹,하천변조경,40.058211385118874,142.0089804168093
남부순환로,중앙분리,39.96746269684944,142.10490637264283
남부순환도로변수벽,수벽,40.042007751882956,141.98176790360222
목동교ic,광장녹지,40.01470177358748,142.06286825364214
행당2동 신동아아파트후면,기타,40.03472979636051,142.20918156972803
마장동399-48,기타,40.04336249898096,142.21738369097588
상왕십리역4번출구,기타,40.044719263636935,142.20803708836598
응봉동 현대아파트 벽면,기타,40.03129907584072,142.20925049372124
성수1가2동656-26,기타,40.031919195458755,142.22166661728417
성수1가2동22-1,기타,40.02501875277814,142.22739740976377
봉천복개로,노변분리,39.966996417402456,142.11154709075075
양남사거리,광장녹지,40.00612098649674,142.0621912786188
성수1가2동671-126,기타,40.03170817687016,142.22332445986885
봉천복개로,노변분리,39.9686921343145,142.10784718176225
양남사거리,광장녹지,40.00576877095877,142.06162975090052
철도변수림대,수림대,40.06672590573702,142.06623461248256
연남동가로공원녹지,중앙분리대,40.04732585412738,142.0972310353316
연남동가로공원녹지,중앙분리대,40.04765388965708,142.09697262055346
연남동가로공원녹지,중앙분리대,40.04795678890292,142.09673220278077
연남동가로공원녹지,중앙분리대,40.048915934838796,142.0962966714581
푸른거리(홍대입구-성모병,도로변녹지,40.04808655126733,142.08605706304718
푸른거리(홍대입구-성모병,도로변녹지,40.045478682216924,142.08836849227728
목동교ic,광장녹지,40.013216924622625,142.06458588564846
성수2가3동284-32,기타,40.02800398991777,142.23038906775545
양남사거리,광장녹지,40.00618606139084,142.06233599051768
mbc옆분리녹지대,중앙분리대,40.005852226050415,142.103104030237
푸른거리(홍대입구-성모병,도로변녹지,40.044120274055715,142.08959553951576
푸른거리(홍대입구-성모병,도로변녹지,40.043116681429204,142.0904261887428
공항로변수벽,수벽,40.0448631649842,141.99444119330667
동작대로,중앙분리,39.946603790892574,142.16145660887054
양화대교I.C,광장녹지,40.03111850994824,142.08194983609846
월드컵터널상부녹지,도로변녹지,40.05517203201187,142.07129903059013
성산대교I.C,광장녹지,40.04101173138576,142.06908062551813
도림천변,수림대,39.9836567192926,142.06503927613014
공릉동 224-18,자투리땅 녹지,40.10495609802622,142.26276879665593
교통섬녹지대,,40.084595971405015,142.10324821559703
훈련원로가로분리대,노변분리대,40.04266624952401,142.1797170565189
약수고가도로 하단 녹지대,기타,40.035683991343326,142.18796594962902
장충동2가 자투리녹지대,광장녹지,40.040721976197894,142.17873506343636
서서울(아)앞,도로변녹지,40.03916594837878,142.13487399963665
푸른거리(아현초등-마포교),도로변녹지,40.03351784722548,142.13052224168518
남부순환로,중앙분리,39.96391863909542,142.12367633470777
영등포ic,도로변녹지,40.003039408403076,142.08537828452955
남부순환로,중앙분리,39.96601095832622,142.111812631982
난지도길 중앙분리대,중앙분리대,40.05862006193999,142.05870922771308
남대문녹지대,광장녹지,40.041127943488256,142.15129577155565
한솔apt방음벽뒤,수림대,40.028358847029686,142.06099377327993
마포대교I.C,광장녹지,40.02029839489756,142.1168800186882
순복음교회앞,노변분리대,40.01399218227031,142.0952695292332
여의도일원,수벽,39.999953068258975,142.1058921599969
여의도일원,수벽,40.01458230995799,142.08868581038863
도림천변,수림대,39.98001216668267,142.06556234743968
대림3동코오롱apt앞,수림대,39.99001694281416,142.06785177235506
서초로수벽,수벽,39.977274314459585,142.19838895765307
서초로수벽,수벽,39.973733285539055,142.18440405568637
서초로수벽,수벽,39.974516099663376,142.1872729595086
서초로수벽,수벽,39.977520013797935,142.1983817228355
탄천1교녹지대,도로변녹지,39.981117060869344,142.26293467736966
고덕동길외 1개노선 녹지,광장녹지,40.03406778448613,142.34596497165745
길동 로타리 녹지,광장녹지,40.012717192944,142.31913285938575
동호로,수벽,40.028061689561284,142.19315091862603
왕십리2동 974-12,기타,40.04170566187823,142.20852682124342
금호1가동 617-2,기타,40.034506077743735,142.20197966698146
금호3가동 1266,기타,40.03021085814312,142.19683024314494
금호4가동 1564,기타,40.028963596812225,142.20515318195558
용답동(명문예식장사거리),기타,40.04985662900949,142.227502750796
양화교앞,하천변조경,40.03060792243722,142.05694101874508
헌능로중앙분리대,중앙분리대,39.93907684074417,142.25360932918485
내곡ic녹지대,광장녹지,39.9376745334181,142.25096358145274
올림픽로 분리대,중앙분리대,39.991837247883076,142.27578481028965
사근제방길,수벽,40.049207092700726,142.22403626347636
성수2가1동421,기타,40.01663881092796,142.229652359624
금호역주변,기타,40.02918955687702,142.19368301354203
오류I.C녹지대,도로변녹지,39.98277780562098,142.01732321368692
동부이촌동 녹지대,광장녹지,40.00395626376179,142.13984431455475
반포로변,도로변녹지,40.010768498009554,142.16722217706706
서빙고로 동사무소옆,도로변녹지,40.00203780385214,142.16694083708344
중구경계,도로변녹지,40.05212561994324,142.2017813267997
왕십리문화공원,간이휴게소,40.04232413902161,142.21350371264936
마장동 세림아파트도로변,기타,40.046166208925726,142.22439723230815
독산지역(안천)녹지,완충녹지,39.948911154981104,142.05319573987697
오류I.C녹지대,도로변녹지,39.982082742461785,142.01853064170191
시흥역~시흥대로,도로변녹지,39.964241165517784,142.05837161413348
구청사주변녹지,공공건물,39.994671672507735,142.11241309339886
동작대로분리녹지대,중앙분리대,39.96955080662955,142.15616009103806
