"고유번호","녹지대ID","녹지대명","주소한글","녹지대분류","녹지대조성년도","녹지대면적","조경량","구명","구코드","X 좌표","Y 좌표"
"165","0","합정로변 푸른거리","2003.하반기 완공예정","","0","0E-8","0E-8","마포구","440","191555.193","451439.591"
"169","0","마포구청내","","공공건물","0","1925.00000000","0E-8","마포구","440","191914.811","451615.256"
"176","0","","","","0","0E-8","0E-8","영등포구","560","194069.346","446711.708"
"179","0","신도림역북측","","도로변녹지","0","1200.00000000","0E-8","구로구","530","190312.611","445597.231"
"181","0","원효녹지대","이촌동173-1일대","광장녹지","0","19192.00000000","0E-8","용산구","170","195799.583","447931.742"
"188","0","송정제방","송정제방","수림대","0","17987.00000000","0E-8","성동구","200","204283.587","450223.432"
"200","0","성산대교I.C","","광장녹지","0","35544.00000000","0E-8","마포구","440","190914.051","450616.148"
"202","0","구청앞사거리","","도로변녹지","0","304.00000000","0E-8","구로구","530","190139.285","443981.64"
"203","0","흑석2구역녹지","흑석동 269외 7필지","경관녹지","0","292.00000000","0E-8","동작구","590","197053.125","445089.091"
"115","0","을지로입구녹지대","을지로1가R","광장녹지","0","1487.00000000","3316.00000000","중구","140","198504.522","451862.643"
"201","0","대방천수림대","신길3동외","기타","0","6720.00000000","0E-8","영등포구","560","191317.39","444735.065"
"148","0","중량천변경관 수림","","수림대","0","77200.00000000","303764.00000000","노원구","350","204920.713","461098.411"
"106","0","장위동향나무쉼터","장위동 223-7외 3필지","간이휴게소","0","431.00000000","959.00000000","성북구","290","204062.376","457371.156"
"123","0","남대문","남대분로4가 29","문화재 주변","0","22324.00000000","0E-8","중구","140","197811.944","451158.031"
"205","0","상도5구역녹지","상도동 408-2외 2필지","경관녹지","0","851.00000000","0E-8","동작구","590","196554.693","443881.674"
"208","0","둔촌동 로타리 녹지","둔촌돈522외 7필지","광장녹지","0","2830.00000000","0E-8","강동구","740","211878.327","446933.032"
"93","0","올림픽로 분리대","","중앙분리대","0","0E-8","0E-8","송파구","710","209691.856","446337.019"
"94","0","올림픽로 분리대","","중앙분리대","0","0E-8","0E-8","송파구","710","209892.185","446421.721"
"95","0","","","","0","0E-8","0E-8","송파구","710","210108.62","446428.884"
"96","0","위례성길 분리대","","","0","0E-8","0E-8","송파구","710","210507.584","446211.758"
"97","0","","","","0","0E-8","0E-8","송파구","710","210627.762","446198.295"
"99","0","탄천제방수림대","","수림대","0","72000.00000000","0E-8","송파구","710","206921.733","444806.567"
"100","0","탄천제방수림대","","수림대","0","72000.00000000","0E-8","송파구","710","209099.296","443886.77"
"1","0","영등포ic","","도로변녹지","0","16145.00000000","0E-8","영등포구","560","192363.916","446772.946"
"4","0","국회앞노변분리대","","노변분리대","0","11064.00000000","0E-8","영등포구","560","192688.174","447639.739"
"8","0","남부순환로수벽","","수벽","0","1000.00000000","0E-8","서초구","650","199394.956","441704.856"
"12","0","가락사거리녹지대","","도로변녹지","0","37080.00000000","0E-8","송파구","710","210206.575","444241.782"
"13","0","올림픽로 분리대","","중앙분리대","0","28907.00000000","0E-8","송파구","710","208875.358","446051.773"
