조,순번,장소,종류,위도,경도,거리
서울개원초등학교,0,서울개원초등학교,초등학교,37.4814064,127.0585118,0.0
서울개원초등학교,99,서울개원초등학교,초등학교,37.4814064,127.0585118,0.0
서울개일초등학교,0,서울개일초등학교,초등학교,37.4857103,127.0580384,0.0
서울개일초등학교,99,서울개일초등학교,초등학교,37.4857103,127.0580384,0.0
서울개포초등학교,0,서울개포초등학교,초등학교,37.4866958,127.0692353,0.0
서울개포초등학교,1,수도전기공업고등학교,고등학교,37.4872512,127.0617613,663.8745503431115
서울개포초등학교,2,수도전기공업고등학교,고등학교,37.4872512,127.0617613,663.8745503431115
서울개포초등학교,99,서울개포초등학교,초등학교,37.4866958,127.0692353,0.0
서울개현초등학교,0,서울개현초등학교,초등학교,37.4809812,127.0616882,0.0
서울개현초등학교,1,개포중학교,중학교,37.4803435,127.0623024,89.22144668138266
서울개현초등학교,2,개포고등학교,고등학교,37.484974,127.0592235,493.86263262643394
서울개현초등학교,3,개포고등학교,고등학교,37.484974,127.0592235,493.86263262643394
서울개현초등학교,99,서울개현초등학교,초등학교,37.4809812,127.0616882,0.0
서울구룡초등학교,0,서울구룡초등학교,초등학교,37.4806022,127.0520606,0.0
서울구룡초등학교,1,구룡중학교,중학교,37.4859395,127.0563607,703.9511171723473
서울구룡초등학교,99,서울구룡초등학교,초등학교,37.4806022,127.0520606,0.0
서울논현초등학교,0,서울논현초등학교,초등학교,37.5075529,127.0258769,0.0
서울논현초등학교,99,서울논현초등학교,초등학교,37.5075529,127.0258769,0.0
서울대곡초등학교,0,서울대곡초등학교,초등학교,37.4968985,127.0714557,0.0
서울대곡초등학교,99,서울대곡초등학교,초등학교,37.4968985,127.0714557,0.0
서울대도초등학교,0,서울대도초등학교,초등학교,37.5136997,127.0426175,0.0
서울대도초등학교,99,서울대도초등학교,초등학교,37.5136997,127.0426175,0.0
서울대모초등학교,0,서울대모초등학교,초등학교,37.4816561,127.0861452,0.0
서울대모초등학교,99,서울대모초등학교,초등학교,37.4816561,127.0861452,0.0
서울대왕초등학교,0,서울대왕초등학교,초등학교,37.4644025,127.105547,0.0
서울대왕초등학교,99,서울대왕초등학교,초등학교,37.4644025,127.105547,0.0
서울대진초등학교,0,서울대진초등학교,초등학교,37.4938605,127.0768669,0.0
서울대진초등학교,1,숙명여자고등학교,고등학교,37.4970649,127.0715566,589.0696594564316
서울대진초등학교,2,숙명여자고등학교,고등학교,37.4970649,127.0715566,589.0696594564316
서울대진초등학교,99,서울대진초등학교,초등학교,37.4938605,127.0768669,0.0
서울대청초등학교,0,서울대청초등학교,초등학교,37.4920557,127.087615,0.0
서울대청초등학교,99,서울대청초등학교,초등학교,37.4920557,127.087615,0.0
서울대치초등학교,0,서울대치초등학교,초등학교,37.4808514,127.0439754,0.0
서울대치초등학교,99,서울대치초등학교,초등학교,37.4808514,127.0439754,0.0
서울대현초등학교,0,서울대현초등학교,초등학교,37.5038133,127.0645501,0.0
서울대현초등학교,1,대명중학교,중학교,37.506052,127.0610776,394.97798496995455
서울대현초등학교,2,숙명여자중학교,중학교,37.4970649,127.0715566,972.0183946438544
서울대현초등학교,99,서울대현초등학교,초등학교,37.5038133,127.0645501,0.0
서울도곡초등학교,0,서울도곡초등학교,초등학교,37.4990444,127.0546963,0.0
서울도곡초등학교,1,중앙대학교사범대학부속고등학교,고등학교,37.4984393,127.051884,257.5917084173061
서울도곡초등학교,2,중앙대학교사범대학부속고등학교,고등학교,37.4984393,127.051884,257.5917084173061
서울도곡초등학교,3,중앙대학교사범대학부속고등학교,고등학교,37.4984393,127.051884,257.5917084173061
서울도곡초등학교,4,중앙대학교사범대학부속고등학교,고등학교,37.4984393,127.051884,257.5917084173061
서울도곡초등학교,99,서울도곡초등학교,초등학교,37.4990444,127.0546963,0.0
서울도성초등학교,0,서울도성초등학교,초등학교,37.5029063,127.0580661,0.0
서울도성초등학교,1,휘문중학교,중학교,37.5052385,127.0619983,433.45933117029153
서울도성초등학교,2,휘문고등학교,고등학교,37.5052385,127.0619983,433.45933117029153
서울도성초등학교,99,서울도성초등학교,초등학교,37.5029063,127.0580661,0.0
서울봉은초등학교,0,서울봉은초등학교,초등학교,37.5203876,127.06093,0.0
서울봉은초등학교,1,봉은중학교,중학교,37.5190414,127.0625616,207.6729104659713
서울봉은초등학교,99,서울봉은초등학교,초등학교,37.5203876,127.06093,0.0
서울삼릉초등학교,0,서울삼릉초등학교,초등학교,37.5133358,127.0464764,0.0
서울삼릉초등학교,1,경기고등학교,고등학교,37.5165287,127.0561144,922.8273796122139
서울삼릉초등학교,2,경기고등학교,고등학교,37.5165287,127.0561144,922.8273796122139
서울삼릉초등학교,99,서울삼릉초등학교,초등학교,37.5133358,127.0464764,0.0
서울세명초등학교,0,서울세명초등학교,초등학교,37.4694739,127.0917658,0.0
서울세명초등학교,99,서울세명초등학교,초등학교,37.4694739,127.0917658,0.0
서울수서초등학교,0,서울수서초등학교,초등학교,37.4901459,127.1014286,0.0
서울수서초등학교,1,서울세종고등학교,고등학교,37.4900792,127.1014586,7.863891930978717
서울수서초등학교,2,서울세종고등학교,고등학교,37.4900792,127.1014586,7.863891930978717
서울수서초등학교,3,서울세종고등학교,고등학교,37.4900792,127.1014586,7.863891930978717
서울수서초등학교,4,서울세종고등학교,고등학교,37.4900792,127.1014586,7.863891930978717
서울수서초등학교,99,서울수서초등학교,초등학교,37.4901459,127.1014286,0.0
서울신구초등학교,0,서울신구초등학교,초등학교,37.5236292,127.0249963,0.0
서울신구초등학교,1,현대고등학교,고등학교,37.5245997,127.0227776,223.75822220707693
서울신구초등학교,2,현대고등학교,고등학교,37.5245997,127.0227776,223.75822220707693
서울신구초등학교,3,현대고등학교,고등학교,37.5245997,127.0227776,223.75822220707693
서울신구초등학교,4,현대고등학교,고등학교,37.5245997,127.0227776,223.75822220707693
서울신구초등학교,99,서울신구초등학교,초등학교,37.5236292,127.0249963,0.0
서울압구정초등학교,0,서울압구정초등학교,초등학교,37.5317271,127.0309643,0.0
서울압구정초등학교,1,압구정고등학교,고등학교,37.5310592,127.0322974,139.2088466246199
서울압구정초등학교,2,압구정고등학교,고등학교,37.5310592,127.0322974,139.2088466246199
서울압구정초등학교,3,압구정고등학교,고등학교,37.5310592,127.0322974,139.2088466246199
서울압구정초등학교,4,압구정고등학교,고등학교,37.5310592,127.0322974,139.2088466246199
서울압구정초등학교,99,서울압구정초등학교,초등학교,37.5317271,127.0309643,0.0
서울양전초등학교,0,서울양전초등학교,초등학교,37.4903771,127.0700308,0.0
서울양전초등학교,1,대청중학교,중학교,37.490564,127.0645044,489.17647880583655
서울양전초등학교,2,경기여자고등학교,고등학교,37.487175,127.065613,528.1596566608248
서울양전초등학교,99,서울양전초등학교,초등학교,37.4903771,127.0700308,0.0
서울언북초등학교,0,서울언북초등학교,초등학교,37.5200168,127.0456761,0.0
서울언북초등학교,99,서울언북초등학교,초등학교,37.5200168,127.0456761,0.0
서울언주초등학교,0,서울언주초등학교,초등학교,37.4872663,127.0377513,0.0
서울언주초등학교,1,대치중학교,중학교,37.484174,127.0477073,945.0527479385918
서울언주초등학교,2,도곡중학교,중학교,37.4931781,127.0454997,948.72022561034
서울언주초등학교,99,서울언주초등학교,초등학교,37.4872663,127.0377513,0.0
서울역삼초등학교,0,서울역삼초등학교,초등학교,37.4918579,127.0316693,0.0
서울역삼초등학교,1,은성중학교,중학교,37.4862488,127.0362633,743.3838160750287
서울역삼초등학교,2,은광여자고등학교,고등학교,37.4862488,127.0362633,743.3838160750287
서울역삼초등학교,99,서울역삼초등학교,초등학교,37.4918579,127.0316693,0.0
