조,순번,장소,위도,경도
서울일원초등학교,0,서울일원초등학교,37.4894424,127.0764023
서울일원초등학교,1,중동중학교,37.4887382,127.0782333
서울일원초등학교,2,밀알학교,37.4857687,127.0823156
서울일원초등학교,3,서울일원초등학교,37.4894424,127.0764023
서울양전초등학교,0,서울양전초등학교,37.4903771,127.0700308
서울양전초등학교,1,개포동근린공원,37.48421,127.07006
서울양전초등학교,2,개원중학교,37.4919031,127.0716502
서울양전초등학교,3,서울양전초등학교,37.4903771,127.0700308
서울개포초등학교,0,서울개포초등학교,37.4866958,127.0692353
서울개포초등학교,1,개포동근린공원,37.48421,127.07006
서울개포초등학교,2,서울개포초등학교,37.4866958,127.0692353
서울대진초등학교,0,서울대진초등학교,37.4938605,127.0768669
서울대진초등학교,1,대진공원,37.4777461,127.058229
서울대진초등학교,2,마루공원,37.48421,127.07006
서울대진초등학교,3,서울대진초등학교,37.4938605,127.0768669
서울영희초등학교,0,서울영희초등학교,37.4919919,127.0812822
서울영희초등학교,1,중동고등학교,37.4931119,127.0807535
서울영희초등학교,2,서울영희초등학교,37.4919919,127.0812822
서울대청초등학교,0,서울대청초등학교,37.4920557,127.087615
서울대청초등학교,1,일원에코파크,37.48754,127.08705
서울대청초등학교,2,서울대청초등학교,37.4920557,127.087615
서울대모초등학교,0,서울대모초등학교,37.4816561,127.0861452
서울대모초등학교,1,서울로봇고등학교,37.4816561,127.0861452
서울대모초등학교,2,서울대모초등학교,37.4816561,127.0861452
