학교명,학교종류명,도로명주소,위도,경도
세곡중학교,중학교,서울특별시 강남구 자곡로 81,37.4742868,127.1044784
휘문중학교,중학교,서울특별시 강남구 역삼로 541,37.5052385,127.0619983
진선여자중학교,중학교,서울특별시 강남구 선릉로85길 27,37.5024829,127.0481954
중동중학교,중학교,서울특별시 강남구 일원로8길 37,37.4887382,127.0782333
은성중학교,중학교,서울특별시 강남구 남부순환로359길 36,37.4862488,127.0362633
숙명여자중학교,중학교,서울특별시 강남구 남부순환로 2807,37.4970649,127.0715566
단국대학교사범대학부속중학교,중학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
청담중학교,중학교,서울특별시 강남구 압구정로61길 36,37.5283392,127.0442721
역삼중학교,중학교,서울특별시 강남구 도곡로43길 10,37.4956967,127.0490704
언주중학교,중학교,서울특별시 강남구 선릉로116길 57,37.5130486,127.0455115
언북중학교,중학교,서울특별시 강남구 도산대로38길 27,37.5195975,127.0323988
압구정중학교,중학교,서울특별시 강남구 압구정로 225,37.5268658,127.0446254
신사중학교,중학교,서울특별시 강남구 압구정로 123,37.5268658,127.0446254
신구중학교,중학교,서울특별시 강남구 압구정로36길 17,37.5265235,127.031507
수서중학교,중학교,서울특별시 강남구 광평로59길 57,37.4906985,127.1039544
봉은중학교,중학교,서울특별시 강남구 영동대로128길 59,37.5190414,127.0625616
도곡중학교,중학교,서울특별시 강남구 언주로57길 31,37.4931781,127.0454997
대치중학교,중학교,서울특별시 강남구 남부순환로378길 39,37.484174,127.0477073
대청중학교,중학교,서울특별시 강남구 양재천로 321,37.490564,127.0645044
대왕중학교,중학교,서울특별시 강남구 광평로20길 7,37.4816561,127.0861452
대명중학교,중학교,서울특별시 강남구 역삼로87길 26,37.506052,127.0610776
구룡중학교,중학교,서울특별시 강남구 선릉로 103,37.4859395,127.0563607
개포중학교,중학교,서울특별시 강남구 선릉로 9,37.4803435,127.0623024
개원중학교,중학교,서울특별시 강남구 영동대로 101,37.4919031,127.0716502
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741
풍문고등학교,고등학교,서울특별시 강남구 자곡로 152,37.4714253,127.1007248
풍문고등학교,고등학교,서울특별시 강남구 자곡로 152,37.4714253,127.1007248
풍문고등학교,고등학교,서울특별시 강남구 자곡로 152,37.4714253,127.1007248
